from,from_ctry,to,to_ctry,sp_distance,distance,duration_90kmh,duration_65kmh,border_dist,border_time,total_dist,total_time_90kmh,total_time_65kmh,rugg,pop_wpop,pop_wpop_km2,cost_km
20,GAB,1,GAB,162206.8367611,206215.179141117,137.476786094078,190.352473053338,0,0,206215.179141117,137.476786094078,190.352473053338,6267.13671875,25705.90625,23.499331479248,449448.348382425
40,GAB,3,GAB,241324.904098506,306798.772009718,204.532514673145,283.198866470509,0,0,306798.772009718,204.532514673145,283.198866470509,22103.98828125,6430.2607421875,3.71741535244486,407389.826949478
10,GNQ,4,GAB,162919.60861372,207121.333149232,138.080888766155,191.188922906983,1632187.5,5862,1839308.83314923,6000.08088876616,6053.18892290698,58857.390625,47309.8515625,42.5120735451238,710859.5665286
22,CMR,6,CMR,124113.601300131,157786.866675977,105.191244450652,145.64941539321,0,0,157786.866675977,105.191244450652,145.64941539321,78592.2578125,21662.951171875,25.5331996550307,871335.305687584
16,GNQ,10,GNQ,148271.837859224,188499.475214815,125.666316809877,173.999515582906,0,0,188499.475214815,125.666316809877,173.999515582906,35392.453125,30044.166015625,30.1307042247411,650274.456999675
18,CMR,10,GNQ,136818.823151926,173939.142699055,115.959428466037,160.559208645281,1701289.0625,8206.5,1875228.20519905,8322.45942846604,8367.05920864528,57915.1875,29567.41015625,31.8864782506016,689403.967128934
16,GNQ,12,GNQ,77086.8293491119,98001.2596328496,65.3341730885664,90.4627011995535,0,0,98001.2596328496,65.3341730885664,90.4627011995535,10039.099609375,14751.669921875,28.4812905637034,441125.607954339
28,GAB,12,GNQ,81752.6215349407,103932.928054773,69.288618703182,95.9380874351751,1632187.5,5862,1736120.42805477,5931.28861870318,5957.93808743518,10175.7861328125,17082.79296875,31.108623678176,436897.795333306
45,CMR,13,CMR,118906.070754416,151166.480841383,100.777653894256,139.538290007431,0,0,151166.480841383,100.777653894256,139.538290007431,79843.140625,92700.671875,113.988900583566,937211.680643248
53,NGA,14,NGA,119299.180087683,151666.244681184,101.110829787456,139.999610474939,0,0,151666.244681184,101.110829787456,139.999610474939,117632.6640625,67953.078125,83.8738402563239,994667.237489648
21,GAB,16,GNQ,123034.94713667,156415.562814864,104.277041876576,144.38359644449,1632187.5,5862,1788603.06281486,5966.27704187658,6006.38359644449,61986.0703125,3107.97338867188,3.65934483888381,460565.876907908
45,CMR,23,CMR,103068.304051554,131031.769117511,87.3545127450073,120.952402262318,0,0,131031.769117511,87.3545127450073,120.952402262318,87854.453125,30627.72265625,43.8812233562552,837487.081557202
35,CMR,24,CMR,57494.956459318,73093.9150452154,48.7292766968103,67.4713061955835,0,0,73093.9150452154,48.7292766968103,67.4713061955835,25797.66015625,27312.41796875,69.8232105611553,631920.720444598
74,GAB,27,GAB,227074.416228149,288681.983792203,192.454655861468,266.475677346649,0,0,288681.983792203,192.454655861468,266.475677346649,31231.64453125,27320.3125,17.3548216569023,482493.632412998
29,GNQ,28,GAB,71539.0641156409,90948.3300258317,60.6322200172211,83.9523046392293,1632187.5,5862,1723135.83002583,5922.63222001722,5945.95230463923,12427.2412109375,22256.34375,46.0573631667212,462282.193580464
41,CMR,29,GNQ,60435.2406726871,76831.9278681812,51.2212852454541,70.9217795706288,1701289.0625,8206.5,1778120.99036818,8257.72128524545,8277.42177957063,9234.3984375,30271.68359375,73.3466792544567,496928.320653641
36,CMR,30,CMR,58829.8131800958,74790.9317881554,49.8606211921036,69.0377831890665,0,0,74790.9317881554,49.8606211921036,69.0377831890665,37563.90625,28285.0703125,70.5904883602789,741460.84234008
58,CMR,33,CMR,50587.5804223568,64312.4985815254,42.8749990543503,59.3653833060234,0,0,64312.4985815254,42.8749990543503,59.3653833060234,24741.96484375,1796146.375,5132.38445663633,1083518.05018984
54,CMR,38,CMR,114763.503981645,145899.99413707,97.2666627580467,134.676917664988,0,0,145899.99413707,97.2666627580467,134.676917664988,54830.04296875,21089.47265625,27.1141521958167,574192.314761381
40,GAB,39,GAB,191285.397184742,243183.04477898,162.122029852653,224.476656719058,0,0,243183.04477898,162.122029852653,224.476656719058,27612.8984375,4697.11474609375,3.57601312732313,417333.94409958
57,GAB,40,GAB,155788.117165923,198054.996514995,132.03666434333,182.819996783072,0,0,198054.996514995,132.03666434333,182.819996783072,14594.373046875,3450.3525390625,3.23096988754711,384024.118228917
56,CMR,41,CMR,111037.336833077,141162.880453118,94.1085869687451,130.304197341339,0,0,141162.880453118,94.1085869687451,130.304197341339,17155.08984375,41894.359375,55.1853159114402,521487.727471648
61,CMR,43,NGA,202834.174818002,257865.121663391,171.910081108927,238.0293430739,1944034.6875,7592.57175,2201899.80916339,7764.48183110893,7830.6010930739,121762.609375,42590.2421875,30.5792771505199,749447.040330732
57,GAB,47,GAB,149966.193668578,190653.526756238,127.102351170826,175.987870851912,0,0,190653.526756238,127.102351170826,175.987870851912,24493.548828125,4010.09399414063,3.95946742660295,414197.084198821
56,CMR,51,CMR,64670.7551109537,82216.5798722661,54.8110532481774,75.8922275743995,0,0,82216.5798722661,54.8110532481774,75.8922275743995,31620.4140625,12782.1513671875,29.0743233621965,497796.235352789
57,GAB,51,CMR,217312.48337818,276271.540609805,184.181027073203,255.01988363982,2145976.5625,6124.5,2422248.10310981,6308.6810270732,6379.51988363982,22729.318359375,6134.3486328125,3.94763863639513,410414.834557378
83,CMR,53,NGA,199209.773484388,253257.383881097,168.838255920731,233.776046659474,1944034.6875,7592.57175,2197292.0713811,7761.41000592073,7826.34779665948,136959.484375,181874.140625,133.307224821189,949533.869083004
59,CMR,54,CMR,165822.496583847,210811.803752934,140.541202501956,194.595511156555,0,0,210811.803752934,140.541202501956,194.595511156555,27905.111328125,9421.4365234375,8.30014796103856,488378.267980544
76,COG,57,GAB,350789.405960587,445962.091582543,297.308061055029,411.657315306963,2297986.25,7923.99975,2743948.34158254,8221.30781105503,8335.65706530696,8431.3427734375,6900.72705078125,2.74976411599978,387122.990921893
132,CMR,57,GAB,371816.985079325,472694.663904764,315.129775936509,436.33353591209,2145976.5625,6124.5,2618671.22640476,6439.62977593651,6560.83353591209,21309.296875,6626.6103515625,2.46045396578114,395060.363414748
85,CMR,62,CMR,35096.1833790301,44618.1300812582,29.7454200541721,41.1859662288537,0,0,44618.1300812582,29.7454200541721,41.1859662288537,6473.880859375,6029.83544921875,24.5185434566333,479828.749694867
66,CMR,65,CMR,136191.319434907,173141.3909273,115.427593951533,159.822822394431,0,0,173141.3909273,115.427593951533,159.822822394431,5602.13037109375,14062.78515625,15.0018571545533,393674.210817081
132,CMR,66,CMR,285119.174192095,362474.867006903,241.649911337936,334.592184929449,0,0,362474.867006903,241.649911337936,334.592184929449,21421.26171875,17620.06640625,8.54148504852827,430901.113655381
96,CMR,70,CMR,197581.268129653,251187.048683367,167.458032455578,231.864968015416,0,0,251187.048683367,167.458032455578,231.864968015416,29032.505859375,10766.388671875,8.08454736457249,445052.019101948
96,CMR,75,CMR,168541.968687758,214269.095925539,142.84606395036,197.786857777421,0,0,214269.095925539,142.84606395036,197.786857777421,37621.59765625,24454.578125,21.4732310111644,562524.286257191
79,COG,77,GAB,300413.322291627,381918.470945748,254.612313963832,352.540127026845,2297986.25,7923.99975,2679904.72094575,8178.61206396383,8276.53987702684,17555.275390625,42204.22265625,18.9143372154702,489407.9189872
112,COG,77,GAB,312923.01566637,397822.169654037,265.214779769358,367.220464296034,2297986.25,7923.99975,2695808.41965404,8189.21452976936,8291.22021429603,19426.373046875,13858.3115234375,6.09224134650408,512322.260227494
108,CMR,80,CMR,179817.670751888,228604.009098904,152.402672732602,211.019085322065,0,0,228604.009098904,152.402672732602,211.019085322065,81535,62349.03125,51.0564789521926,724037.559015878
101,CMR,82,NGA,105088.98425278,133600.680132627,89.067120088418,123.32370473781,1944034.6875,7592.57175,2077635.36763263,7681.63887008842,7715.89545473781,210140.546875,173202.78125,244.567133858879,1172011.67668192
97,CMR,89,CMR,140725.619649969,178905.89228741,119.270594858274,165.143900572994,0,0,178905.89228741,119.270594858274,165.143900572994,31197.1171875,101449.8984375,104.822487573731,652086.202523529
142,CAF,92,CMR,157377.929690872,200076.141129978,133.384094086652,184.685668735365,1591690.84375,6711.85725,1791766.98487998,6845.24134408665,6896.54291873537,37084.8125,37921.078125,35.4753959318458,816589.429387784
122,TCD,95,TCD,125321.64716306,159322.667502926,106.215111668618,147.067077695009,0,0,159322.667502926,106.215111668618,147.067077695009,20264.33984375,39261.98828125,45.4279644562609,800701.021216965
114,CMR,96,CMR,103892.528803483,132079.614314825,88.053076209883,121.919643982915,0,0,132079.614314825,88.053076209883,121.919643982915,13373.9267578125,14493.6630859375,20.4590895252914,507301.385080156
102,TCD,101,CMR,99313.4119756576,126258.137145223,84.1720914301487,116.545972749437,1723632.8125,7621.5,1849890.94964522,7705.67209143015,7738.04597274944,13377.4453125,48383.61328125,72.5065350087195,646331.413461092
107,CMR,102,TCD,94164.4195683639,119712.17143337,79.8081142889133,110.503542861572,1723632.8125,7621.5,1843344.98393337,7701.30811428891,7732.00354286157,29952.552734375,56440.0859375,89.9230160603935,726044.035593376
129,TCD,104,CMR,149003.108745117,189429.147229548,126.286098153032,174.857674365736,1723632.8125,7621.5,1913061.95972955,7747.78609815303,7796.35767436574,7656.93359375,50779.578125,50.5074133210009,690447.433067955
114,CMR,113,CMR,32786.1444726081,41681.354440831,27.7875696272206,38.4750964069209,0,0,41681.354440831,27.7875696272206,38.4750964069209,7615.17626953125,4875.19873046875,21.0405905236614,511605.61520151
137,CAF,136,COG,249986.309169802,317810.103184505,211.873402123003,293.363172170312,1743700.53125,8511.357,2061510.63443451,8723.230402123,8804.72017217031,21442.365234375,23712.462890625,12.8014349424862,538531.761834448
180,CAF,136,COG,330528.276213786,420203.914037342,280.135942691561,387.880536034469,1743700.53125,8511.357,2163904.44528734,8791.49294269156,8899.23753603447,5164.63671875,38701.4921875,16.1572643481079,490007.436213039
174,CAF,137,CAF,141003.656309493,179259.363082456,119.50624205497,165.470181306882,0,0,179259.363082456,119.50624205497,165.470181306882,30317.82421875,19551.978515625,20.4534570997156,588319.63149662
154,TCD,143,TCD,61789.152651691,78553.1697521025,52.368779834735,72.51061823271,0,0,78553.1697521025,52.368779834735,72.51061823271,3064.55932617188,42423.24609375,101.072702110496,585285.301874972
145,CAF,144,TCD,99380.3602216807,126343.249122144,84.228832748096,116.62453765121,1100245.53125,5864.35725,1226588.78037214,5948.5860827481,5980.98178765121,46982.96875,31332.552734375,47.0119729484513,873130.982489036
157,CAF,148,CAF,69760.3633848303,88687.0499394518,59.1246999596346,81.8649691748786,0,0,88687.0499394518,59.1246999596346,81.8649691748786,11637.82421875,6474.9833984375,13.7846139688731,548861.918716029
169,CAF,150,CAF,125028.495132996,158949.980385649,105.966653590433,146.723058817522,0,0,158949.980385649,105.966653590433,146.723058817522,15410.3408203125,46291.52734375,54.512775025949,713904.616823793
156,CAF,155,CAF,40093.4794873109,50971.2427660712,33.9808285107141,47.0503779379118,0,0,50971.2427660712,33.9808285107141,47.0503779379118,15902.4814453125,1882.21362304688,6.77264318062272,530011.069624508
157,CAF,155,CAF,89292.5020476918,113518.45380502,75.6789692033465,104.786265050787,0,0,113518.45380502,75.6789692033465,104.786265050787,27038.302734375,7173.69873046875,12.0123622640104,593016.417952971
157,CAF,156,CAF,84801.7707155914,107809.342002984,71.8728946686559,99.516315695062,0,0,107809.342002984,71.8728946686559,99.516315695062,27646.685546875,6417.2841796875,11.2537722122583,577009.009938013
174,CAF,156,CAF,113596.430436849,144416.281829274,96.2775212195163,133.307337073176,0,0,144416.281829274,96.2775212195163,133.307337073176,24590.13671875,6280.828125,8.12003429990882,572534.254739522
163,CAF,157,CAF,128047.030210152,162787.474316908,108.524982877939,150.265360907915,0,0,162787.474316908,108.524982877939,150.265360907915,17564.818359375,48399.06640625,55.5873874684503,694218.822343576
176,CAF,161,CAF,96721.2106396137,122962.645576829,81.9750970512191,113.503980532457,0,0,122962.645576829,81.9750970512191,113.503980532457,22110.12109375,16643.4609375,25.3253013253477,653826.80049501
182,CAF,161,CAF,120524.167446713,153223.583402117,102.149055601411,141.437153909646,0,0,153223.583402117,102.149055601411,141.437153909646,16557.1484375,574449.3125,709.283804583969,1000635.71288193
185,CAF,162,TCD,182744.29469757,232324.655486493,154.883103657662,214.453528141379,1100245.53125,5864.35725,1332570.18673649,6019.24035365766,6078.81077814138,16850.052734375,44825.1640625,36.2378943176825,681144.461040886
173,CAF,163,CAF,136216.873249006,173173.877747569,115.449251831713,159.852810228526,0,0,173173.877747569,115.449251831713,159.852810228526,20479.01171875,51150.54296875,54.374979952093,724178.11414892
177,CAF,163,CAF,129371.574940337,164471.381322738,109.647587548492,151.819736605604,0,0,164471.381322738,109.647587548492,151.819736605604,27972.33203125,75257.7734375,85.5405571550138,819537.518670302
194,TCD,167,TCD,221220.01287353,281239.222064994,187.492814709996,259.605435752302,0,0,281239.222064994,187.492814709996,259.605435752302,42422.07421875,23440.97265625,15.4311557407597,617981.143495615
187,TCD,171,TCD,256081.549614286,325559.043520593,217.039362347062,300.516040172855,0,0,325559.043520593,217.039362347062,300.516040172855,24217.666015625,17629.0390625,9.90903054244171,557028.264364699
179,CAF,175,CAF,154507.519021175,196426.959244187,130.951306162791,181.317193148481,0,0,196426.959244187,130.951306162791,181.317193148481,48902.6015625,13169.1044921875,12.4392980408472,629047.98637017
188,CAF,176,CAF,158915.728288638,202031.159917432,134.687439944955,186.490301462245,0,0,202031.159917432,134.687439944955,186.490301462245,70845.5390625,26627.421875,24.7138999405549,710340.662346142
186,CAF,179,CAF,103947.13365266,132149.034007484,88.0993560049892,121.983723699216,0,0,132149.034007484,88.0993560049892,121.983723699216,70868.1796875,15963.2666015625,22.355082429131,684255.527691787
190,CAF,179,CAF,114054.670571245,144998.847110067,96.6658980733782,133.845089640062,0,0,144998.847110067,96.6658980733782,133.845089640062,63269.87890625,39813.2265625,50.9536551578828,823251.984106234
194,TCD,183,TCD,295806.268466141,376061.477190703,250.707651460469,347.133671252957,0,0,376061.477190703,250.707651460469,347.133671252957,59608.9140625,35408.19921875,16.2512752662076,694293.645009564
